auctionid,count
1638843936,7
1638844284,2
1638844464,16
1638844729,11
1638893549,5
1638917885,13
1639226378,12
1639253454,2
1639309309,27
1639323228,8
1639333116,24
1639341131,25
1639364679,3
1639425502,2
1639453840,33
1639672910,4
1639826019,18
1639929579,17
1639979107,16
1640179146,22
1640257270,13
1640495398,23
1640550476,23
1640653873,15
1640793161,14
1640809330,20
1640809333,40
1640936328,22
1641062012,3
1641112143,13
1641142160,5
1641154540,4
1641242797,5
1641457876,2
1641587440,21
1641628327,7
1641629836,14
1641722275,20
1641783552,16
1641880134,11
1641880908,4
1641962219,16
1642005995,18
1642185637,9
1642243766,11
1642322610,5
1642414724,14
1642421109,11
1642424500,7
1642514892,9
1642534283,23
1642561397,16
1642875447,12
1642876200,11
1642911743,3
1643075711,16
1643136423,10
1643187764,13
1643201832,4
1643212361,28
1643244227,16
1643544538,26
1643885624,23
1643903116,8
1643903372,9
1644046945,11
1644049270,27
1644077790,15
1644077820,11
1644109746,28
1644138548,21
1644197869,12
1644252877,12
1644309984,7
1644327264,13
1644343468,19
1644357387,25
1644594033,46
1644681469,14
1644724061,14
1644739924,18
1644752795,26
1644760539,17
1645542737,8
1645594382,10
1645883276,12
1645914432,12
1645989170,11
1646007296,4
1646079608,6
1646145109,9
1646353713,11
1646448593,25
1646573469,15
1646988233,19
1647149304,14
1647320738,12
1647329406,19
1647567213,2
1647637035,17
1647844282,27
1647846714,27
1647870862,24
1648041601,5
1648176677,7
1648193761,9
1648233039,4
1648252368,23
1648363974,14
1648613621,9
1648661746,12
1648706567,5
1648782304,4
1648968984,12
1649028956,42
1649131866,20
1649173313,5
1649513497,14
1649567847,16
1649639405,23
1649718196,26
1649726994,13
1649757877,9
1649808226,2
1649845539,2
1649848613,20
1649858595,7
1649944294,22
1650162165,18
1650406935,41
1650483277,30
1650515990,6
1650530689,6
1650699048,19
1650981438,3
1650986455,5
2920317714,32
2920320059,24
2920322392,32
2920504693,25
3013787547,18
3013839128,22
3013874420,9
3013884772,18
3013912877,23
3013951754,18
3014012075,4
3014012355,35
3014012365,17
3014085073,14
3014314236,5
3014467615,20
3014480955,12
3014527296,21
3014572100,21
3014616784,23
3014671042,9
3014772364,3
3014792711,7
3014797177,22
3014834745,21
3014834982,20
3014835507,27
3014836964,16
3014844738,21
3014844871,18
3014878060,12
3015010479,1
3015011363,27
3015053455,26
3015053536,16
3015053617,19
3015060138,4
3015103095,3
3015148398,25
3015318631,9
3015328849,33
3015344188,2
3015358053,2
3015396986,18
3015467305,30
3015469474,25
3015513105,4
3015513123,1
3015513138,3
3015520083,19
3015520299,21
3015520551,15
3015546956,17
3015549707,8
3015592850,8
3015594808,1
3015632013,28
3015682701,37
3015694920,6
3015710025,7
3015710036,7
3015710047,6
3015826410,12
3015860830,4
3015898779,4
3015909210,10
3015909534,8
3015909790,10
3015915692,21
3015942588,18
3015958025,20
3016035790,11
3016189459,12
3016329182,10
3016330514,1
3016342535,43
3016384270,19
3016384507,26
3016385067,15
3016427640,19
3016429446,10
3016458866,11
3016459024,16
3016587753,1
3016610859,15
3016623337,13
3016651485,20
3016710166,24
3016770041,32
3016771147,16
3016832602,8
3016891898,15
3016892738,19
3016893433,13
3017449549,26
3017456210,3
3017457773,17
3017533541,14
3017602583,16
3017626592,8
3017676972,18
3017736272,5
3017841326,15
3017907666,31
3017911925,8
3017923068,9
3017950485,20
3018011210,28
3018061782,1
3018065500,16
3018091954,17
3018131250,24
3018228635,24
3018288277,32
3018375809,16
3018453060,19
3018457930,29
3018581708,27
3018594562,42
3018604649,21
3018623685,24
3018632224,16
3018729635,30
3018732453,11
3018738379,36
3018740612,1
3018788243,45
3018792064,2
3018868918,11
3018904443,24
3018964794,20
3018989545,33
3018994053,22
3019008453,23
3019070859,37
3019086590,3
3019100520,24
3019119068,5
3019146651,32
3019148335,18
3019173309,24
3019224930,30
3019245076,24
3019259186,29
3019271858,28
3019326300,10
3019326870,33
3019342231,29
3019342390,22
3019354114,27
3019428008,32
3019459282,22
3019508285,33
3019515786,32
3019516140,12
3019530013,2
3019540740,38
3019559023,17
3019610737,30
3019696199,32
3019716900,21
3019783040,19
3019821308,1
3019821569,27
3019873456,25
3019881842,5
3019972424,26
3019975492,17
3020017121,26
3020026227,20
3020060476,22
3020109475,10
3020125049,10
3020143804,19
3020157897,15
3020159852,12
3020160387,22
3020237085,18
3020237201,25
3020242442,17
3020257463,16
3020269225,1
3020274575,11
3020329965,29
3020334869,27
3020382619,2
3020431774,36
3020435332,3
3020454530,21
3020526277,15
3020532816,51
3020562562,35
3020573049,2
3020632534,11
3020684186,27
