Agent,Ratchet,Sniper,None
2315,993,152,0
2260,1026,172,0
2330,966,164,0
2321,983,156,0
2289,993,178,0
2324,974,161,0
2261,1035,164,0
2344,952,164,0
2336,969,154,0
2269,1032,159,0
2318,981,161,0
2309,981,169,0
2266,1010,184,0
2345,955,159,0
2326,967,167,0
2346,952,162,0
2321,984,155,0
2305,973,181,0
2310,984,166,0
2311,980,168,0
2308,985,167,0
2346,952,162,0
2324,957,179,0
2334,956,170,0
2325,949,185,0
2270,1012,178,0
2342,953,165,0
2343,941,173,0
2309,966,184,0
2358,932,170,0
2351,938,171,0
2299,967,194,0
2358,944,158,0
2305,986,169,0
2329,962,169,0
2321,956,183,0
2317,986,156,0
2292,1001,167,0
2379,925,156,0
2366,917,175,0
2424,874,162,0
2311,984,165,0
2303,983,174,0
2327,973,160,0
2286,990,184,0
2337,952,171,0
2377,919,163,0
2323,969,168,0
2319,974,167,0
